"VideoID","PublishedDate","Title","Description","ViewCount","LikeCount","DislikeCount","FavoriteCount","CommentCount","Duration"
"YNvDNQiu-iw","2013-10-10T20:15:00.000Z","J-Pop Talk Show: Samurai Sword Enthusiast - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 37: http://j.mp/16I8lIw
Talk Shows: http://j.mp/170pPA5

The Michigan State students welcome their friend from Jewish summer camp, who happens to be a Samurai sword enthusiast.  Aired 03/10/12",358691,2471,63,0,231,"PT6M24S"
"Yxp23Gkvn9g","2013-10-10T21:54:38.000Z","Andy Kaufman's Foreign Man - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 1: http://j.mp/1aboVT2

When all else fails, play the bongos.  Aired 11/08/75",313391,1941,65,0,269,"PT6M34S"
"-LiADB-VHoU","2013-10-10T21:29:14.000Z","Dopenhagen and Happy Daze: Smokeless Tobacco - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 6: http://j.mp/1dVARMV
Commercials: http://j.mp/18eQ1JG

Smokeless tobacco and more.  Aired 12/20/80",1512,4,0,0,0,"PT1M43S"
"-UGDt0303gc","2013-10-11T02:12:58.000Z","Ed Grimley - Rev. Jesse Jackson - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 10: http://j.mp/14vnFXM
Classic Characters: http://j.mp/GJ0aXb

The Rev. Jesse Jackson is forced to suffer Ed Grimley on a 9-hour flight.  Aired 10/20/84",2610,10,0,0,2,"PT6M20S"
"0JpAWeDDReU","2013-10-10T22:16:33.000Z","Gilly: Christmas Ghost - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Gilly: http://j.mp/18VU2l7
SEASON 35: http://j.mp/1bKK7oV
Holiday Sketches: http://j.mp/19hz68h

Gilly is a ghostly Christmas visitor.  Aired 12/17/09",46309,204,9,0,7,"PT1M29S"
"37kTk_yFeKA","2013-10-10T23:02:08.000Z","Coin Slot - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Commercials: http://j.mp/18eQ1JG
SEASON 31: http://j.mp/18r3opS

Lindsay Lohan in a fake commercial for Coin Slot Cream.  Aired 04/15/06",580812,1611,91,0,53,"PT1M28S"
"3MibMGMSZWg","2013-10-11T00:14:38.000Z","Internet Chat - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 20: http://j.mp/1fGoUz8

Darryl encounters a pervert on the internet.  Aired 01/21/95",285288,1457,36,0,94,"PT5M49S"
"3VqqYj7UW3U","2013-10-10T22:17:24.000Z","Horse Play Soundtrack - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Celebrity Impressions: http://j.mp/1bEY4ok
SEASON 36: http://j.mp/16I5RKf

A heart-warming film about a team of horses who wanted to play baseball has a soundtrack.  Aired 11/20/10",46625,349,3,0,24,"PT3M20S"
"4WSrrIYHFic","2013-10-10T21:55:04.000Z","Norman Lear Film - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 2: http://j.mp/16y6Hhn

Norman's TV family pays tribute. Featuring Bea Arthur.  Aired 09/25/76",562,4,0,0,0,"PT7M45S"
"5dxhdllsTJQ","2013-10-10T21:29:25.000Z","Reach Out: A Phone Company - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 7: http://j.mp/1c3wktO
Commercials: http://j.mp/18eQ1JG

A phone company that let's you reach out.  Aired 02/06/82",149,0,0,0,0,"PT1M46S"
"7uiXH9-GEcw","2013-10-10T21:55:08.000Z","The Apathetic Telephone Company - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Commercials: http://j.mp/18eQ1JG
SEASON 2: http://j.mp/16y6Hhn

Take from her, no one cares.  Aired 09/18/76",1361,9,0,0,1,"PT1M37S"
"bH30TVO1Oxg","2013-10-10T02:13:41.000Z","Pippa Visits the Queen - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Romance: http://j.mp/1dVBsy2
SEASON 37: http://j.mp/16FEes7
Family: http://j.mp/16y4Top

Queen Elizabeth and Charles pressure Kate Middleton into motherhood and take a liking to her sister, Pippa.  Aired 12/10/11",570043,3038,214,0,347,"PT5M22S"
"BYRa8oXksoA","2013-10-10T21:28:04.000Z","John Lennon and Yoko Ono - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Weekend Update: http://j.mp/16y5Pt6
SEASON 6: http://j.mp/1dVARMV

Charlie interviews Lennon and Ono about John's new album, their marriage, and their day-to-day life.  Aired 11/22/80",3449,21,4,0,0,"PT3M24S"
"c-DOmkrki_U","2013-10-11T02:12:36.000Z","Martin Short Talks - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Promos: http://j.mp/17gzRy7
SEASON 10: http://j.mp/14vnFXM

Martin announces that the show is running under and tries to kill time.  Aired 10/06/84",2734,10,0,0,0,"PT1M13S"
"DLAg1cZq03c","2013-10-10T02:37:20.000Z","Weekend Update: Tyler Perry - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Celebrity Impressions: http://j.mp/1bEY4ok
SEASON 37: http://j.mp/16FEes7
Weekend Update: Guests: http://j.mp/1fHpwyV

Tyler Perry drops by and reminds all of us just how rich he is.  Aired 10/01/11",7616,21,0,0,1,"PT4M3S"
"EHjO8boZkD4","2013-10-10T23:01:33.000Z","Scared Straight: Lorenzo and Lindsay Lohan - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
TV Show Parodies: http://j.mp/1dOGbld
SEASON 37: http://j.mp/16FEes7

Lindsay Lohan has some harsh truths for some troubled teens.  Aired 03/03/12",372444,2184,56,0,145,"PT6M40S"
"FUkJ6Cybis0","2013-10-10T21:28:19.000Z","Dropout Tina's Return - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Classroom: http://j.mp/15XeUYA
SEASON 6: http://j.mp/1dVARMV

A cosmetologist returns to the high school where she dropped out.  Aired 02/14/81",2607,9,1,0,5,"PT4M8S"
"FV3AdHV4S3c","2013-10-10T21:30:20.000Z","Ray Sharkey Monologue - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 6: http://j.mp/1dVARMV

Thrilled to be back in New York, Ray Sharkey does his wise-guy bit.  Aired 01/10/81",957,1,0,0,2,"PT3M33S"
"fzav9nYkrME","2013-10-10T21:55:30.000Z","Submissive Sugar Daddies: Takes Orders - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 6: http://j.mp/1dVARMV
Commercials: http://j.mp/18eQ1JG

A sugar daddy that takes orders can be yours.  Aired 02/21/81",891,2,0,0,0,"PT1M39S"
"gy_N3tapD6I","2013-10-10T21:27:38.000Z","Come On Out America - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 7: http://j.mp/1c3wktO
Commercials: http://j.mp/18eQ1JG

Go for it America!  Aired 03/27/82",139,1,0,0,0,"PT1M36S"
"h3uJA-1-zWo","2013-10-10T23:02:29.000Z","House Sitting - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 37: http://j.mp/16FEes7

When a house sitter shows up for duty, the owner has some issues with talking on the phone.  Aired 03/03/12",544326,3690,46,0,159,"PT5M15S"
"hamiJIjZOGI","2013-10-10T21:55:48.000Z","Mr. Mike's Blind Chicken - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 2: http://j.mp/16y6Hhn

A parable about being a chicken in a swamp.  Aired 11/13/76",1591,3,0,0,1,"PT2M15S"
"hBGbfMn1Qm8","2013-10-10T21:28:20.000Z","Rocket Report - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 6: http://j.mp/1dVARMV
Rocket Report: http://j.mp/1a6ZFm4

Central Park - fun AND scary!  Aired 02/14/81",609,2,0,0,1,"PT3M41S"
"HHy0S-_8lMY","2013-10-11T00:17:50.000Z","Cold Opening: Judge Ito - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Cold Openings: http://j.mp/18oRjll
Courtroom: http://j.mp/17gzW4P
SEASON 20: http://j.mp/1fGoUz8

Judge Ito gets even with Senator D'Amato.  Aired 04/08/95",2323,5,0,0,0,"PT2M1S"
"hsqPErEWQYg","2013-10-10T23:01:43.000Z","BExtras08FM: Illiterate Lisa - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 37: http://j.mp/16FEes7
Talk Shows: http://j.mp/170pPA5
Business Parodies: http://j.mp/183s5GS

On Minnesota's hottest morning radio show, the energy level is way up but the time is very, very early.  Aired 03/03/12",115059,336,20,0,15,"PT5M37S"
"irusszJHoOc","2013-10-11T00:12:53.000Z","Forbes America - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Political Impressions: http://j.mp/1aqsTJy
News and Current Events: http://j.mp/15qLK9g
SEASON 21: http://j.mp/1fGo8Cf

Steve Forbes outlines a new country that is cold and barren, and centered around a flat tax.  Aired 03/16/96",1679,3,3,0,0,"PT3M45S"
"IxnG5X4Geak","2013-10-10T21:54:37.000Z","Dregs and Vestiges - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 1: http://j.mp/1aboVT2

Scred's in love with a special girl.  Aired 11/22/75",1462,4,1,0,2,"PT3M16S"
"JfbgFJTAV44","2013-10-10T21:29:48.000Z","Robert Culp Monologue - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 7: http://j.mp/1c3wktO

Robert Culp tries to convince the audience that he's able to do stand-up comedy.  Aired 04/24/82",273,0,0,0,0,"PT1M50S"
"JG87y8vX41o","2013-10-10T21:29:17.000Z","Ellen Burstyn Monologue - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 6: http://j.mp/1dVARMV

Ellen Burstyn talks about her career leading up to her 48th birthday tonight.  Aired 12/06/80",768,5,0,0,1,"PT2M27S"
"jne-tVPTaFw","2013-10-10T21:29:58.000Z","Michael Davis Juggles Ping Pong Balls - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 7: http://j.mp/1c3wktO
Guest Performers: http://j.mp/17gx1ZO

Juggler Michael Davis juggles ping pong balls from his mouth.  Aired 05/22/82",4719,33,0,0,4,"PT7M47S"
"kL3Ysd6sNAk","2013-10-10T02:14:00.000Z","New Year's Eve Sequel - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Celebrity Impressions: http://j.mp/1bEY4ok
SEASON 37: http://j.mp/16FEes7
Movie Parodies: http://j.mp/16UK0Dc

Thousands of your favorite movie starts come together in the sequel to ""New Year's Eve"" in ""The Apocalypse.""  Aired 12/10/11",381183,1652,20,0,69,"PT3M6S"
"lPBFDBjxchs","2013-10-11T02:12:42.000Z","Fire Dance - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 10: http://j.mp/14vnFXM
Family: http://j.mp/16y4Top

A steel executive hypnotizes his daughter's date into not having sex with her.  Aired 01/12/85",1363,5,0,0,2,"PT7M49S"
"oohHQm3WhS4","2013-10-11T02:12:09.000Z","Good Cop Bad Cop - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 10: http://j.mp/14vnFXM
Law Enforcement: http://j.mp/16y7DSV

Two cops try to get information out of their suspect, with limited success.  Aired 01/19/85",6253,40,1,0,3,"PT6M19S"
"Oxv3F07JZxQ","2013-10-11T00:15:16.000Z","Cold Opening: The Oprah Show - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Cold Openings: http://j.mp/18oRjll
SEASON 22: http://j.mp/1f1wsMh
Talk Shows: http://j.mp/170pPA5

Anne Heche abuses Ellen DeGeneres  on the set of Oprah.  Aired 05/10/97",8713,41,5,0,3,"PT4M44S"
"Pk5AAHvb71Y","2013-10-11T00:16:54.000Z","Mark Russell's Election Year Comedy Special - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Commercials: http://j.mp/18eQ1JG
SEASON 22: http://j.mp/1f1wsMh

Russell's song parodies aren't much, but they're on the mark!  Aired 11/02/96",456,1,0,0,0,"PT2M29S"
"pWm_H6xtgoM","2013-10-10T23:02:36.000Z","Delinquent Girl Teen Gang - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 37: http://j.mp/16FEes7

When a gang of teenage girls dances after dark, Babette has a few run-ins with oncoming traffic.  Aired 03/03/12",856724,3388,141,0,148,"PT5M3S"
"ql4tBfOTTk0","2013-10-11T02:12:59.000Z","Nathan Thurm: Affair - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 10: http://j.mp/14vnFXM
Classic Characters: http://j.mp/GJ0aXb

Nathan is having an affair with his best friend's wife. He denies everything as usual.  Aired 03/30/85",6493,46,0,0,3,"PT6M8S"
"QLHzgj9g1-M","2013-10-10T21:55:14.000Z","Mr. Mike's Mormons - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 2: http://j.mp/16y6Hhn

What would happen if you put spikes in the eyes of the Mormon Tabernacle choir?  Aired 10/30/76",1531,5,2,0,2,"PT2M45S"
"QU6MOa7n7aE","2013-10-10T22:16:29.000Z","Christmas Dinner Intro - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 35: http://j.mp/1bKK7oV
Holiday Sketches: http://j.mp/19hz68h
Family: http://j.mp/16y4Top

A family holiday gathering gets testy.  Aired 12/17/09",23078,62,2,0,4,"PT44S"
"QYfhrbPwFNU","2013-10-10T21:30:10.000Z","Malcolm McDowell Monologue - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 6: http://j.mp/1dVARMV

Malcolm McDowell almost did not make it due to a work permit/Visa renewal.  Aired 11/22/80",13473,124,1,0,22,"PT3M1S"
"RKQEmz4URoY","2013-10-10T21:54:44.000Z","Cavett's School of Hydroplane Operation - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Commercials: http://j.mp/18eQ1JG
SEASON 1: http://j.mp/1aboVT2

Enroll now in the Dick Cavett School of Hydroplane Operation.  Aired 01/31/76",640,1,0,0,1,"PT1M24S"
"RoGHk_d7pxI","2013-10-10T21:28:47.000Z","Blythe's Plea - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 7: http://j.mp/1c3wktO
Backstage: http://j.mp/1abqD7d

Blythe Danner says that due to government cutbacks, many legitimate actors are forced to do shows such as SNL.  Aired 03/27/82",388,0,0,0,0,"PT1M33S"
"Roou_7aI5is","2013-10-10T02:37:20.000Z","Weekend Update: Bronx Zoo Trainer Barry Lewis - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 36: http://j.mp/16I5RKf
Weekend Update: Guests: http://j.mp/1fHpwyV

The man who captured the missing Bronx Zoo cobra stops by Update with the snake.  Aired 04/02/11",1372,3,1,0,0,"PT3M17S"
